"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type","New Column"
"1439","15:05:45.229922","18:a6:f7:c5:62:80","88:b4:a6:08:35:49","802.11","-93 dBm","0.059798","Probe Response","","","","Pince2","1","","",""
"1440","15:05:45.231305","18:a6:f7:c5:62:80","88:b4:a6:08:35:49","802.11","-93 dBm","0.001383","Probe Response","","","","Pince2","1","","",""
"1441","15:05:45.232635","18:a6:f7:c5:62:80","88:b4:a6:08:35:49","802.11","-91 dBm","0.001330","Probe Response","","","","Pince2","1","","",""
"1442","15:05:45.234012","18:a6:f7:c5:62:80","88:b4:a6:08:35:49","802.11","-91 dBm","0.001377","Probe Response","","","","Pince2","1","","",""
"1443","15:05:47.978311","d4:28:d5:c7:2f:01","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","2.744299","Probe Request","TCL","Orange-Rise52","Telephone","","1","Orange-Rise52","Smartphone - dual mode",""
"1444","15:05:47.980663","d4:28:d5:c7:2f:01","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","0.002352","Probe Request","TCL","Orange-Rise52","Telephone","","1","Orange-Rise52","Smartphone - dual mode",""
"1445","15:05:47.982208","b0:48:7a:e7:fe:3e","d4:28:d5:c7:2f:01","802.11","-89 dBm","0.001545","Probe Response","","","","Emikroszkop","1","","",""
"1446","15:05:48.040196","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.057988","Probe Response","","","","Pince2","1","","",""
"1447","15:05:48.044629","b0:48:7a:e7:fe:3e","d4:28:d5:c7:2f:01","802.11","-73 dBm","0.004433","Probe Response","","","","Emikroszkop","1","","",""
"1448","15:05:48.059212","18:a6:f7:c5:62:80","d4:28:d5:c7:2f:01","802.11","-91 dBm","0.014583","Probe Response","","","","Pince2","1","","",""
"1449","15:05:48.087267","b0:48:7a:e7:fe:3e","d4:28:d5:c7:2f:01","802.11","-73 dBm","0.028055","Probe Response","","","","Emikroszkop","1","","",""
"1450","15:05:48.089437","18:a6:f7:c5:62:80","d4:28:d5:c7:2f:01","802.11","-91 dBm","0.002170","Probe Response","","","","Pince2","1","","",""
"1451","15:05:48.151235","18:a6:f7:c5:62:80","d4:28:d5:c7:2f:01","802.11","-93 dBm","0.061798","Probe Response","","","","Pince2","1","","",""
"1452","15:05:48.160851","18:a6:f7:c5:62:80","d4:28:d5:c7:2f:01","802.11","-91 dBm","0.009616","Probe Response","","","","Pince2","1","","",""
"1453","15:05:49.077239","18:a6:f7:c5:62:80","d4:28:d5:c7:2f:01","802.11","-93 dBm","0.916388","Probe Response","","","","Pince2","1","","",""
"1454","15:05:49.078914","18:a6:f7:c5:62:80","d4:28:d5:c7:2f:01","802.11","-91 dBm","0.001675","Probe Response","","","","Pince2","1","","",""
"1455","15:05:49.080422","18:a6:f7:c5:62:80","d4:28:d5:c7:2f:01","802.11","-93 dBm","0.001508","Probe Response","","","","Pince2","1","","",""
"1456","15:05:49.081719","18:a6:f7:c5:62:80","d4:28:d5:c7:2f:01","802.11","-91 dBm","0.001297","Probe Response","","","","Pince2","1","","",""
"1457","15:05:58.693798","b8:27:eb:10:4c:b1","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","9.612079","Probe Request","","","","","1","","",""
"1458","15:05:58.695642","18:a6:f7:c5:62:80","b8:27:eb:10:4c:b1","802.11","-89 dBm","0.001844","Probe Response","","","","Pince2","1","","",""
"1459","15:05:58.697110","18:a6:f7:c5:62:80","b8:27:eb:10:4c:b1","802.11","-95 dBm","0.001468","Probe Response","","","","Pince2","1","","",""
"1460","15:05:58.698504","18:a6:f7:c5:62:80","b8:27:eb:10:4c:b1","802.11","-93 dBm","0.001394","Probe Response","","","","Pince2","1","","",""
"1461","15:05:58.699838","18:a6:f7:c5:62:80","b8:27:eb:10:4c:b1","802.11","-91 dBm","0.001334","Probe Response","","","","Pince2","1","","",""
"1462","15:05:58.715748","b8:27:eb:10:4c:b1","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","0.015910","Probe Request","","","","","1","","",""
"1463","15:05:58.717543","18:a6:f7:c5:62:80","b8:27:eb:10:4c:b1","802.11","-91 dBm","0.001795","Probe Response","","","","Pince2","1","","",""
"1464","15:05:58.718896","18:a6:f7:c5:62:80","b8:27:eb:10:4c:b1","802.11","-91 dBm","0.001353","Probe Response","","","","Pince2","1","","",""
"1465","15:05:58.720291","18:a6:f7:c5:62:80","b8:27:eb:10:4c:b1","802.11","-91 dBm","0.001395","Probe Response","","","","Pince2","1","","",""
"1466","15:05:58.721647","18:a6:f7:c5:62:80","b8:27:eb:10:4c:b1","802.11","-91 dBm","0.001356","Probe Response","","","","Pince2","1","","",""
"1467","15:06:06.997127","a8:b8:6e:43:7d:f7","ff:ff:ff:ff:ff:ff","802.11","-69 dBm","8.275480","Probe Request","","","","Internet","1","","",""
"1468","15:06:06.998257","a8:b8:6e:43:7d:f7","ff:ff:ff:ff:ff:ff","802.11","-67 dBm","0.001130","Probe Request","","","","","1","","",""
"1469","15:06:07.000407","b0:48:7a:e7:fe:3e","a8:b8:6e:43:7d:f7","802.11","-73 dBm","0.002150","Probe Response","","","","Emikroszkop","1","","",""
"1470","15:06:07.002028","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.001621","Probe Response","","","","Pince2","1","","",""
"1471","15:06:07.054324","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-93 dBm","0.052296","Probe Response","","","","Pince2","1","","",""
"1472","15:06:07.055675","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-93 dBm","0.001351","Probe Response","","","","Pince2","1","","",""
"1473","15:06:07.057051","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.001376","Probe Response","","","","Pince2","1","","",""
