"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type"
"91","20:46:18.141105","04:56:04:bd:cb:fe","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","5.081165","Probe Request","ALLVIEW","P9_Energy_mini","Telephone","","1","P9_Energy_mini","Smartphone - dual mode"
"92","20:46:18.802014","00:15:fa:d8:bb:00","4c:66:41:c5:e6:e2","802.11","-75 dBm","0.660909","Probe Response","","","","Internet","1","",""
"93","20:46:19.480162","00:15:fa:d8:bb:00","da:a1:19:79:c6:38","802.11","-91 dBm","0.678148","Probe Response","","","","Internet","1","",""
"94","20:46:21.476834","00:15:fa:d8:bb:00","a4:50:46:43:3c:a7","802.11","-83 dBm","1.996672","Probe Response","","","","Internet","1","",""
"95","20:46:21.479752","00:15:fa:d8:bb:00","a4:50:46:43:3c:a7","802.11","-75 dBm","0.002918","Probe Response","","","","Internet","1","",""
"96","20:46:21.807864","a4:50:46:43:3c:a7","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.328112","Probe Request","","","","","1","",""
"97","20:46:21.828311","a4:50:46:43:3c:a7","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.020447","Probe Request","","","","","1","",""
"98","20:46:21.975555","a4:50:46:43:3c:a7","ff:ff:ff:ff:ff:ff","802.11","-79 dBm","0.147244","Probe Request","","","","","1","",""
"99","20:46:23.103747","da:a1:19:13:9f:bb","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","1.128192","Probe Request","","","","","1","",""
"100","20:46:26.838392","00:15:fa:d8:bb:00","da:a1:19:b1:1d:f0","802.11","-83 dBm","3.734645","Probe Response","","","","Internet","1","",""
"101","20:46:26.886837","00:15:fa:d8:bb:00","da:a1:19:b1:1d:f0","802.11","-73 dBm","0.048445","Probe Response","","","","Internet","1","",""
"102","20:46:30.346714","e8:50:8b:2c:61:34","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","3.459877","Probe Request","","","","Internet","1","",""
"103","20:46:30.366183","e8:50:8b:2c:61:34","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.019469","Probe Request","","","","Internet","1","",""
"104","20:46:31.090810","d8:c4:e9:ad:1a:e4","ff:ff:ff:ff:ff:ff","802.11","-95 dBm","0.724627","Probe Request","","","","Internet","1","",""
"105","20:46:33.130585","da:a1:19:1e:9f:1f","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","2.039775","Probe Request","","","","","1","",""
"106","20:46:34.173396","80:35:c1:79:d2:b8","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","1.042811","Probe Request","","","","Internet","1","",""
"107","20:46:34.962879","80:35:c1:79:d2:b8","ff:ff:ff:ff:ff:ff","802.11","-95 dBm","0.789483","Probe Request","","","","","1","",""
"108","20:46:34.973715","80:4e:70:03:72:04","ff:ff:ff:ff:ff:ff","802.11","-77 dBm","0.010836","Probe Request","","","","","1","",""
"109","20:46:35.014111","80:4e:70:03:72:04","ff:ff:ff:ff:ff:ff","802.11","-77 dBm","0.040396","Probe Request","","","","","1","",""
"110","20:46:36.457998","9e:12:56:7a:53:3b","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","1.443887","Probe Request","","","","","1","",""
"111","20:46:39.108097","a4:50:46:43:3c:a7","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","2.650099","Probe Request","","","","Internet5G","1","",""
"112","20:46:39.122082","a4:50:46:43:3c:a7","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","0.013985","Probe Request","","","","Internet5G","1","",""
"113","20:46:47.528968","08:f6:9c:4f:e4:82","ff:ff:ff:ff:ff:ff","802.11","-75 dBm","8.406886","Probe Request","","","","Internet","1","",""
